House	Street	City
107	10	ISB
987	17	Other
68	35	Other
846	10	PWR
405	13	Other
148	25	PWR
850	23	ISB
595	38	Other
327	10	Other
268	44	PWR
943	54	ISB
889	81	PWR
287	87	Other
792	64	PWR
536	85	Other
978	18	PWR
82	5	ISB
844	71	Other
462	49	PWR
112	25	Other
931	13	ISB
616	57	PWR
208	10	ISB
428	10	PWR
505	84	PWR
509	30	PWR
90	25	ISB
472	7	ISB
78	79	PWR
178	90	PWR
41	28	ISB
444	34	PWR
931	33	PWR
483	32	ISB
456	64	ISB
222	49	ISB
157	9	Other
935	33	ISB
85	44	LHR
1	93	PWR
289	24	PWR
465	11	Other
620	97	PWR
717	64	ISB
598	72	LHR
673	84	Other
634	10	LHR
715	51	Other
704	42	Other
754	90	ISB
147	57	PWR
638	59	PWR
820	65	PWR
465	51	Other
840	54	PWR
908	88	Other
455	83	ISB
608	94	ISB
911	63	ISB
993	12	LHR
705	8	ISB
522	46	PWR
76	25	ISB
539	99	ISB
647	26	Other
523	28	Other
516	77	PWR
854	16	PWR
27	33	PWR
693	64	Other
672	84	ISB
217	36	Other
478	30	PWR
427	62	ISB
340	10	PWR
969	44	Other
24	25	ISB
852	49	PWR
167	27	ISB
498	11	Other
520	53	Other
840	32	PWR
538	29	Other
928	52	ISB
989	17	Other
659	82	Other
667	51	ISB
626	88	Other
751	15	Other
564	56	Other
29	26	PWR
292	49	ISB
413	81	ISB
12	23	ISB
456	19	Other
444	90	Other
147	23	ISB
496	66	Other
404	75	Other
257	14	PWR
759	46	PWR
730	80	Other
768	22	ISB
264	57	ISB
656	96	Other
48	93	ISB
787	88	Other
204	30	ISB
166	3	ISB
240	14	Other
434	54	Other
837	11	PWR
573	6	Other
997	83	Other
892	26	PWR
818	58	Other
447	54	ISB
887	87	ISB
728	11	PWR
494	83	ISB
722	40	LHR
335	46	PWR
616	12	ISB
940	66	ISB
239	49	LHR
684	94	ISB
28	83	ISB
896	29	Other
33	46	LHR
501	16	Other
966	37	ISB
213	45	PWR
342	69	ISB
241	35	ISB
237	11	Other
825	52	ISB
429	88	Other
606	48	ISB
71	33	PWR
343	71	ISB
221	86	PWR
844	14	ISB
723	55	LHR
205	2	PWR
761	40	Other
168	11	PWR
308	8	PWR
908	95	PWR
325	51	Other
765	67	ISB
748	15	Other
191	64	Other
240	61	PWR
607	21	ISB
492	25	ISB
936	16	Other
959	18	Other
530	69	Other
255	88	ISB
732	14	ISB
93	32	ISB
34	12	ISB
640	23	ISB
612	35	Other
369	13	Other
260	65	Other
816	5	PWR
293	67	ISB
442	95	PWR
946	20	ISB
397	97	Other
791	26	Other
567	27	Other
962	42	Other
152	17	LHR
991	97	PWR
397	88	PWR
542	28	Other
735	68	ISB
65	24	PWR
898	76	ISB
603	54	PWR
489	45	PWR
104	47	PWR
476	19	Other
788	10	ISB
59	9	ISB
111	13	PWR
770	8	Other
265	40	PWR
418	38	ISB
600	76	ISB
658	22	Other
532	98	Other
792	34	Other
268	96	Other
512	6	PWR
294	34	Other
316	95	ISB
660	16	Other
161	44	PWR
885	81	ISB
655	95	Other
468	28	Other
495	34	PWR
455	42	Other
726	49	ISB
850	10	PWR
374	53	Other
354	50	ISB
177	34	PWR
722	4	Other
135	23	Other
817	51	Other
348	6	Other
849	14	Other
731	81	ISB
940	60	ISB
592	30	Other
862	15	Other
726	36	Other
513	9	Other
565	93	ISB
661	87	ISB
77	40	PWR
787	16	PWR
399	46	PWR
986	90	PWR
668	22	Other
49	83	PWR
916	35	ISB
423	59	Other
85	14	Other
213	67	ISB
983	36	PWR
255	10	Other
796	26	PWR
389	38	ISB
280	38	PWR
61	4	PWR
349	63	Other
25	77	PWR
103	12	ISB
101	91	Other
267	83	LHR
542	51	LHR
645	1	Other
833	33	Other
966	7	PWR
296	91	Other
485	83	ISB
501	26	LHR
493	37	PWR
233	67	ISB
966	85	PWR
338	34	Other
594	38	Other
760	84	ISB
195	19	PWR
195	87	PWR
291	69	ISB
270	61	Other
452	85	Other
549	14	Other
598	32	ISB
724	12	PWR
850	57	Other
623	71	PWR
653	42	Other
739	42	Other
853	54	Other
535	81	ISB
477	83	ISB
486	79	Other
950	70	ISB
227	52	Other
522	65	Other
985	39	Other
995	39	Other
882	30	ISB
975	18	Other
287	24	Other
24	18	PWR
55	8	PWR
395	53	ISB
366	88	PWR
357	61	PWR
994	29	ISB
842	51	PWR
367	91	PWR
397	75	Other
890	10	Other
499	17	PWR
714	25	PWR
80	59	Other
811	44	PWR
276	1	Other
596	19	ISB
118	93	Other
879	98	Other
36	73	ISB
282	54	Other
580	28	LHR
549	57	ISB
884	38	ISB
293	70	PWR
22	92	Other
924	42	Other
925	76	Other
688	72	Other
52	42	ISB
84	9	ISB
422	21	ISB
57	90	ISB
102	23	PWR
508	48	Other
217	62	Other
651	43	ISB
153	11	Other
192	81	PWR
252	87	LHR
506	2	PWR
731	23	ISB
675	25	PWR
403	8	PWR
375	5	Other
933	91	ISB
50	36	PWR
598	92	PWR
307	45	PWR
874	80	Other
9	34	Other
46	28	LHR
509	3	Other
548	14	Other
995	87	Other
334	61	Other
835	78	Other
308	57	Other
447	17	ISB
802	51	LHR
761	95	Other
106	79	ISB
686	58	ISB
940	38	Other
326	31	Other
856	21	Other
5	84	ISB
519	33	Other
634	95	LHR
753	8	Other
886	69	PWR
839	41	ISB
350	98	PWR
871	70	PWR
695	49	ISB
326	95	Other
779	24	Other
113	92	ISB
